6.38672 0.115049 0.0957228  -0.0324272 0.0799791 0.111318 0.106125
6.40625 0.112231 0.134575  -0.0290246 0.0784642 0.109035 0.104043
6.42578 0.109512 0.133666  -0.0201049 0.0782203 0.107008 0.102016
6.44531 0.106887 0.100938  -0.00618557 0.0791674 0.105219 0.100035
6.46484 0.104351 0.131865  0.0120352 0.0811881 0.103642 0.0980913
6.48438 0.101901 0.0810282  0.0337088 0.0841312 0.102247 0.096177
6.50391 0.0995328 0.107817  0.0578712 0.0878174 0.101 0.0942844
6.52344 0.0972437 0.127354  0.0834814 0.0920449 0.099863 0.0924063
6.54297 0.0950298 0.123869  0.109461 0.0965971 0.0987951 0.0905362
6.5625 0.0928882 0.130015  0.134738 0.101249 0.0977552 0.0886684
6.58203 0.0908159 0.088483  0.15828 0.105775 0.0967019 0.0867979
6.60156 0.0888099 0.119134  0.17914 0.109956 0.0955951 0.0849203
6.62109 0.0868675 0.0798924  0.196485 0.113588 0.0943972 0.0830324
6.64062 0.0849863 0.0770666  0.209625 0.116486 0.0930744 0.0811319
6.66016 0.0831637 0.0725681  0.218038 0.118491 0.0915975 0.0792173
6.67969 0.0813974 0.0986662  0.221386 0.119477 0.0899427 0.0772882
6.69922 0.0796852 0.066054  0.219528 0.119351 0.0880927 0.0753453
6.71875 0.078025 0.0757829  0.212516 0.118058 0.0860368 0.0733904
6.73828 0.0764147 0.091018  0.200601 0.115582 0.0837716 0.071426
6.75781 0.0748524 0.0972528  0.184212 0.111947 0.0813008 0.0694559
6.77734 0.0733363 0.0839918  0.163945 0.107213 0.0786353 0.0674846
6.79688 0.0718647 0.0660904  0.140538 0.101476 0.0757928 0.0655175
6.81641 0.0704358 0.0892568  0.114842 0.0948639 0.0727973 0.0635605
6.83594 0.0690481 0.067197  0.0877876 0.0875319 0.0696786 0.0616205
6.85547 0.0677 0.085575  0.0603515 0.0796569 0.066471 0.0597043
6.875 0.06639 0.0884272  0.0335181 0.0714316 0.0632129 0.0578196
6.89453 0.0651169 0.0623078  0.00824208 0.0630577 0.0599451 0.0559737
6.91406 0.0638792 0.0669395  -0.014588 0.0547399 0.0567101 0.0541743
6.93359 0.0626757 0.0751664  -0.0341843 0.0466784 0.0535506 0.0524288
6.95312 0.0615052 0.0524912  -0.0498898 0.0390629 0.0505085 0.0507441
6.97266 0.0603665 0.0202361  -0.0612043 0.0320666 0.0476236 0.049127
6.99219 0.0592584 0.0371626  -0.0678038 0.0258405 0.0449325 0.0475833
7.01172 0.05818 0.036339  -0.0695536 0.0205096 0.0424678 0.0461183
7.03125 0.0571301 0.0571134  -0.0665134 0.0161691 0.0402568 0.0447365
7.05078 0.0561079 0.0684955  -0.058935 0.0128819 0.0383215 0.0434414
7.07031 0.0551123 0.0548406  -0.0472518 0.0106777 0.0366772 0.0422353
7.08984 0.0541425 0.0750434  -0.0320612 0.0095533 0.035333 0.0411198
